raw,conf,x1,y1,x2,y2
(SSm),0.9999459414443234,30,18,162,74
1024,0.9163736701011658,820,20,936,72
YoY %,0.9940212899674528,990,20,1130,68
Total income,0.9868452097922951,33,89,299,133
record,0.9999867625593917,647,75,771,115
"5,557",0.9993145396881143,820,90,934,138
13,0.9999956167305686,1033,91,1087,133
Commercial book total income rises 14% from &bp,0.6138316308658014,1231,89,2269,149
Commercial book,0.9017912589338419,56,143,423,191
"5,311",0.9788029368728282,820,146,932,196
14,0.9999991570631338,1033,147,1089,191
NIM expansion and new highs in fees and treasury,0.9966865152520851,1233,142,2268,202
Markets trading,0.9853269727075318,58,199,383,256
246,0.9999998623489704,839,203,917,245
(9),0.9999671014761352,1034,202,1096,252
customer sales,0.6855081183191403,1232,201,1551,245
Expenses,0.9999914020275934,31,259,240,313
"2,079",0.9999833133228728,818,256,937,311
10,0.9999981455391691,1032,258,1090,306
Markets trading income declines 9% from higher,0.9285975123381629,1233,264,2229,325
Profit before allowances,0.9968539511245262,32,313,534,362
record,0.9999783918045635,645,303,772,348
"3,478",0.9997737611606256,818,314,937,367
14,0.9999992413568111,1033,317,1089,361
funding costs,0.8265666094208172,1227,316,1523,378
Allowances,0.9999771552922392,33,371,274,423
135,0.9806186556816101,839,373,919,417
(16),0.5771212417173006,1016,374,1104,428
Cost-income ratio Iittle changed at 37%,0.6045527214247738,1232,391,2040,448
Net profit,0.9612665956850571,34,427,234,483
record,0.9999898285877429,645,414,772,458
"2,956",0.441586692797249,820,430,936,480
15,0.9999937622721186,1033,433,1089,475
"SP at 1Obp of loans, GP of $22m taken",0.8045217176262799,1231,455,2015,517
Reported net profit,0.8150802791421538,32,489,428,545
"2,951",0.9999982407033224,820,490,932,542
15,0.9999891261304003,1033,493,1089,535
Impact on earnings:,0.9982398709689001,1436,556,1852,610
positive,0.6579868873627605,1915,551,2090,612
+8%,0.9989124984612147,327,611,423,655
+23%,0.9965279698371887,541,611,659,655
+44%,0.6729987150156638,753,611,871,655
-9%,0.9981210936053649,993,611,1077,655
+10%,0.9982575178146362,1195,611,1313,655
negative,0.7011091568645595,1917,606,2100,663
192,0.9944703578948975,548,718,630,766
189,0.7530395984649658,771,705,849,749
23,1.0,1001,699,1057,741
197,0.6164880394935608,1210,704,1290,752
77,0.529719457225806,1443,713,1501,753
51,0.9999924978692074,1665,711,1719,755
65,0.9999892104238298,1885,717,1943,759
"2,956",0.9999851792468674,2076,676,2194,728
Citi,0.9998778700828552,2225,725,2293,765
263,0.9999934615788997,327,739,407,783
integration,0.9999635174644231,2221,765,2419,817
"2,571",0.7176649010079286,88,858,202,908
"2,951",0.9999985072634486,2075,842,2189,892
1Q23 net,0.8651620641179854,59,1005,237,1047
Net,0.9999936680552679,333,1005,405,1047
Fee,0.999999449395897,545,1005,621,1047
Treasury,0.9999636269957318,720,1001,901,1057
Markets,0.9999664087280414,953,1005,1109,1047
Expenses,0.9999964175152185,1159,1003,1354,1056
GP,0.9999700609608403,1441,1005,1503,1045
SP,0.9998862054054815,1661,1005,1723,1047
Tax and,0.9887479073241423,1837,1005,1993,1047
1Q24 net,0.5026698658997076,2046,1002,2226,1050
profit,0.9999952306325546,87,1049,206,1103
interest,0.9999724779510458,289,1053,445,1095
income,0.9998104399201964,513,1053,663,1095
customer,0.9999865972649702,715,1053,905,1095
trading,0.9999993692036675,952,1043,1107,1106
others,0.9996396063522305,1849,1053,1979,1095
profit,0.9999907532625453,2075,1048,2196,1103
income,0.9996133239716241,291,1101,441,1143
sales &,0.9999070222617433,734,1100,883,1142
income,0.9888776037509069,955,1101,1105,1143
DRC,0.7987012900466176,59,1152,228,1210
other income,0.8742792300561153,678,1148,939,1191
