raw,conf,x1,y1,x2,y2
Oralnary,0.5580330634395173,91,0,277,35
Capital Return,0.9920711599310984,90,52,395,114
222,0.9999934615788997,1193,75,1273,119
175,0.9998230338096619,551,213,631,257
60,0.999890757116437,1205,209,1261,253
150,0.9999859596080614,1835,285,1915,329
4Q,0.9873877132951485,249,333,315,377
49,1.0,563,331,619,373
15,0.9999636696098811,1847,355,1903,395
54,0.9999991570631338,1205,375,1261,417
75,0.9999992413568111,2081,443,2133,483
3Q,0.4091963640689524,248,464,316,512
44,0.9999998314126102,565,467,619,507
60,0.9999118299314287,1847,461,1903,505
54,0.9999989884757856,1205,533,1261,575
15,0.9952898050120629,1847,571,1903,613
2Q,0.6783295227825039,249,593,315,637
44,0.9999996628252286,563,593,619,633
54,0.9999989041821146,1205,687,1261,731
60,0.9999190790098552,1847,679,1903,723
75,0.9999992413568111,2081,667,2133,707
1Q,0.8750611142953296,250,708,316,756
38,0.44918766617774963,563,709,619,753
2023,0.8810048932450614,539,811,641,855
2024,0.9999174725988236,1181,811,1285,855
2025,0.9999996423721313,1823,811,1927,855
