raw,conf,x1,y1,x2,y2
(SSm),0.822983315973795,49,41,183,101
"3,850",0.9999873117309294,972,46,1090,98
68,0.9999937622721186,1003,115,1057,157
"1,264",0.7541445893879455,1740,118,1858,170
"1,315",0.6105618513590957,2012,90,2133,147
31,0.986502849699778,2045,163,2095,205
19,0.9896948769916075,1771,187,1825,229
"3,055",0.9999976542710154,638,202,756,252
Investment,0.9999701811873631,51,256,284,300
"1,048",0.9999913634491684,1464,232,1580,284
96,0.9999995785315409,671,275,723,311
"1,663",0.9955811767500029,970,275,1091,332
banking,0.9999777418231254,49,291,226,354
2,1.0,1498,304,1528,342
518,0.5107265710830688,1757,327,1837,371
609,0.9999962145976122,2033,331,2113,375
Wealth,0.9999841832005709,53,369,197,413
management,0.9999511059236931,54,412,324,464
"1,135",0.6397308572567008,638,384,757,439
393,0.9999995870469189,1481,409,1561,453
517,0.9999947692626615,991,491,1069,533
Loan-related,0.9746136223501743,52,532,316,580
412,0.9999998623489704,657,535,737,579
186,0.8698498010635376,1756,510,1838,558
146,0.6641249060630798,2030,526,2115,574
137,0.8395324945449829,1483,549,1559,593
Cards,0.9838383917161778,53,642,178,686
733,0.9993361830711365,657,645,737,689
916,0.9999997935234566,989,627,1071,671
269,0.9999980728858172,1481,655,1561,699
313,0.9094012739479467,1757,645,1837,687
302,0.9999992429193688,2033,647,2113,691
Transaction,0.9999850117145799,51,751,297,795
services,0.9998498682573758,51,793,228,837
679,0.9999825183395573,657,781,737,825
686,0.9999921538953669,991,781,1071,825
228,1.0,1481,785,1561,829
228,1.0,1757,785,1837,829
227,0.6480161547660828,2033,787,2111,829
9M23,0.9975764155387878,638,887,754,931
9M24,0.9935683608055115,973,887,1089,931
3023,0.5898162695583005,1465,887,1577,931
2024,0.7551239728927612,1741,887,1853,931
3024,0.9207047643605308,2016,884,2130,932
YoY (%,0.910663334561419,46,940,202,988
Total,0.99997153133616,51,1017,157,1061
26,0.9999996628252286,1003,1019,1059,1061
14,0.999998651301114,1495,1019,1549,1061
27,1.0,1769,1019,1821,1061
25,0.9999993256504904,2049,1019,2105,1061
Wealth management,0.8142787121981481,51,1081,474,1137
6,0.47570369353047093,680,1084,708,1126
47,1.0,1003,1085,1057,1127
22,0.9999993256504904,1497,1085,1551,1127
37,0.6367287635803223,1771,1085,1823,1127
55,0.9999943523269706,2049,1085,2105,1127
