raw,conf,x1,y1,x2,y2
Thinking,0.9999846584983969,64,8,830,240
more like,0.9527396417776178,77,206,871,382
a customer,0.8197767657715507,81,383,1025,543
less like,0.6170890273279431,69,544,742,716
a bank,0.9899240392200158,78,712,658,882
DBS is committed to,0.9980910589271569,186,1653,596,1708
putting the customer,0.9675383221876004,184,1700,616,1756
at the heart of the,0.9481757888325272,184,1746,554,1794
"organisation, So",0.6606141575791635,182,1786,509,1850
can,0.9999720568930481,185,1843,265,1883
"'Live more, Bank",0.8955187541528904,283,1839,611,1883
less',0.9917941228114212,182,1882,272,1930
and have more,0.9987518613703702,286,1880,594,1928
time to spend on the,0.9060322633894909,181,1923,607,1986
people and things,0.9996624803636655,183,1965,551,2032
care about:,0.7535465295471774,185,2019,417,2063
they,0.9999972581863403,509,1784,601,1849
they,0.9999943971633911,548,1965,641,2031
