raw,conf,x1,y1,x2,y2
LTV band,0.6728358655580574,30,22,138,48
Singapore,0.9999648726875285,264,14,383,52
Hong,0.9999740123748779,594,16,661,47
Rest of Greater China,0.97250378982276,910,15,1150,42
South and Southeast Asia,0.8449705358307766,1206,16,1492,42
Up to 50%,0.9921404188048868,110,92,226,124
54.3%,0.7457246172883459,456,92,528,118
62.4%,0.5557039755840073,816,92,888,118
48.6%,0.9392640847741984,1078,92,1150,118
53.8%,0.6597941715621403,1396,92,1466,118
51% to 80%,0.9399554738106889,94,144,226,170
45.4%,0.9787190960140655,424,144,494,170
37.5%,0.9794672673248144,698,144,770,170
49.9%,0.9638567590904804,1084,144,1154,170
44.5%,0.6744117254565654,1360,144,1432,170
81% to 100%,0.8975923963068517,82,198,226,224
0.2%,0.8375300168991089,254,198,314,224
0.1%,0.9761670231819153,582,198,642,224
1.5%,0.6098613519693873,904,198,960,224
0.4%,0.6936894059181213,1204,198,1262,224
Partially,0.831176293443706,128,240,226,270
0.1%,0.9569169282913208,258,252,314,278
0.0%,0.8625596165657043,582,252,642,278
0.0%,0.9753769636154175,900,252,958,278
1.3%,0.5920272635000634,1206,252,1262,278
Collateralised,0.7779158590755619,68,266,226,292
Kong,0.5505469251507693,661,13,717,49
