DBS,GROUP,HOLDI,NG,S LTD,AND ITS SU,BSIDIARIES,,,
,,,,,,,,,
PERFORMA,NCE BY BUS,INESS SE,GM,ENTS,,,,,
,,,,,,,,,
($m),,,,,Commerc,ial Book,,Markets,Total
,,,,,Consumer Inst,itu tional,Others,Trading,
,,,,,Banking/,Banking,,,
,,,,,Wealth,,,,
,,,,,Management,,,,
Selected inc,ome statem,"ent items1,",2,,,,,,
2nd Half 202,4,,,,,,,,
Net interest in,come,,,,"3,237","3,307","1,083",(302),"7,325"
Net fee and c,ommission i,ncome,,,"1,364",726,(13),-,"2,077"
Other non-int,erest income,,,,495,439,131,791,"1,856"
Total income,,,,,"5,096","4,472","1,201",489,"11,258"
Expenses,,,,,"2,782","1,477",1,384,"4,644"
Amortisation,of intangible,assets,,,-,-,11,-,11
Allowances fo,r credit and,other losse,s,,223,(12),128,-,339
Share of profi,ts/losses of,associates,and,JVs,-,13,119,4,136
Profit before,tax,,,,"2,091","3,020","1,180",109,"6,400"
,,,,,,,,,
1st Half 2024,,,,,,,,,
Net interest in,come,,,,"3,232","3,423",761,(317),"7,099"
Net fee and c,ommission i,ncome,,,"1,313",787,(9),-,"2,091"
Other non-int,erest income,,,,514,477,108,750,"1,849"
Total income,,,,,"5,059","4,687",860,433,"11,039"
Expenses,,,,,"2,491","1,343",64,353,"4,251"
Amortisation,of intangible,assets,,,-,-,12,-,12
Allowances fo,r credit and,other losse,s,,222,21,38,2,283
Share of profi,ts/losses of,associates,and,JVs,-,7,109,(2),114
Profit before,tax,,,,"2,346","3,330",855,76,"6,607"
,,,,,,,,,
2nd Half 202,3,,,,,,,,
Net interest in,come,,,,"3,269","3,584",468,(383),"6,938"
Net fee and c,ommission i,ncome,,,"1,037",683,(10),-,"1,710"
Other non-int,erest income,,,,379,410,100,662,"1,551"
Total income,,,,,"4,685","4,677",558,279,"10,199"
Expenses,,,,,"2,470","1,378",51,344,"4,243"
Amortisation,of intangible,assets,,,-,-,9,-,9
Allowances fo,r credit and,other losse,s,,164,150,28,15,357
Share of profi,ts/losses of,associates,and,JVs,-,5,101,3,109
Profit before,tax,,,,"2,051","3,154",571,(77),"5,699"
,,,,,,,,,
Year 2024,,,,,,,,,
Net interest in,come,,,,"6,469","6,730","1,844",(619),"14,424"
Net fee and c,ommission i,ncome,,,"2,677","1,513",(22),-,"4,168"
Other non-int,erest income,,,,"1,009",916,239,"1,541","3,705"
Total income,,,,,"10,155","9,159","2,061",922,"22,297"
Expenses,,,,,"5,273","2,820",65,737,"8,895"
Amortisation,of intangible,assets,,,-,-,23,-,23
Allowances fo,r credit and,other losse,s,,445,9,166,2,622
Share of profi,ts/losses of,associates,and,JVs,-,20,228,2,250
Profit before,tax,,,,"4,437","6,350","2,035",185,"13,007"
,,,,,,,,,
Year 2023,,,,,,,,,
Net interest in,come,,,,"6,195","7,159",932,(644),"13,642"
Net fee and c,ommission i,ncome,,,"2,004","1,393",(13),-,"3,384"
Other non-int,erest income,,,,758,836,191,"1,369","3,154"
Total income,,,,,"8,957","9,388","1,110",725,"20,180"
Expenses,,,,,"4,627","2,673",84,672,"8,056"
Amortisation,of intangible,assets,,,-,-,9,-,9
Allowances fo,r credit and,other losse,s,,270,88,217,15,590
Share of profi,ts/losses of,associates,and,JVs,-,7,200,7,214
Profit before,tax,,,,"4,060","6,634","1,000",45,"11,739"
,,,,,,,,,
,,,,,,,,,12
