,DBS,GR,OUP H,OLDINGS,LTD A,ND,IT,S SUBSIDIAR,IES,,
,,,,,,,,,,,
,($m),,,,,,Co,mmercial Book,,Markets,
,,,,,Cons,umer,,Institutional,Others,Trading,Total
,,,,,Ban,king/,,Banking,,,
,,,,,W,ealth,,,,,
,,,,,Manage,ment,,,,,
,,,,,,,,,,,
,Selected ba,lance s,heet an,d other,,,,,,,
,Items3,,,,,,,,,,
,,,,,,,,,,,
,31 Dec 2024,,,,,,,,,,
,,,,,,,,,,,
,Total assets,before,goodwill,and,,,,,,,
,intangible,assets,,,13,"3,626",,"337,392","115,431","234,398","820,847"
,Goodwill and,intang,ible asse,ts,,,,,,,"6,372"
,Total assets,,,,,,,,,,"827,219"
,Total liabilitie,s,,,32,"4,634",,"223,665","59,331","150,756","758,386"
,Capital expe,nditure,for 2nd H,alf 2024,,102,,30,512,17,661
,Depreciation,for 2nd,Half 20,24,,22,,5,372,2,401
,,,,,,,,,,,
,30 Jun 2024,,,,,,,,,,
,,,,,,,,,,,
,Total assets,before,goodwill,and,,,,,,,
,intangible,assets,,,13,"3,334",,"331,045","98,591","220,745","783,715"
,Goodwill and,intang,ible asse,ts,,,,,,,"6,396"
,Total assets,,,,,,,,,,"790,111"
,Total liabilitie,s,,,31,"0,614",,"226,201","53,701","134,101","724,617"
,Capital expe,nditure,for 1st H,alf 2024,,61,,11,177,6,255
,Depreciation,for 1st,Half 202,4,,12,,3,389,1,405
,,,,,,,,,,,
,31 Dec 2023,,,,,,,,,,
,,,,,,,,,,,
,Total assets,before,goodwill,and,,,,,,,
,intangible,assets,,,13,"4,693",,"317,552","97,803","182,940","732,988"
,Goodwill and,intang,ible asse,ts,,,,,,,"6,313"
,,,,,,,,,,,
,Total assets,,,,,,,,,,"739,301"
,,,,,,,,,,,
,Total liabilitie,s,,,29,"7,302",,"218,527","44,640","116,585","677,054"
,,,,,,,,,,,
,Capital expe,nditure,for 2nd H,alf 2023,,100,,32,309,15,456
,,,,,,,,,,,
,Depreciation,for 2nd,Half 20,23,,8,,2,365,2,377
,,,,,,,,,,,
N,otes:,,,,,,,,,,
1,Excludes imp,act arisi,ng from Cit,i Integration and Pro,vision for,CSR,,,,,
2,"In 2024, a m",ore refin,ed cost allo,cation approach wa,s impleme,nted. I,n ad,"dition, following an intern","al reorganisation, D",BS Vickers was rep,orted
,under the “In,stitutiona,l Banking”,segment instead of,“Others”.,These,cha,"nges, which have been a",pplied retrospective,ly to prior-period,
,comparatives,", do not",affect the,Group’s total income,", expense",s or ne,t pr,ofit.,,,
3,Refer to sect,ions on,Customer L,oans and Non-Perfo,rming As,sets an,d L,oss Allowance Coverage,for more informatio,n on business segm,ents
