col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
,,,,,,,
NPAs at start of period,"5,125","5,056","4,951","4,990","5,303","5,056","5,221"
,,,,,,,
IBG and others,(138),(77),(5),(41),(139),75,(152)
,,,,,,,
New NPAs,379,417,166,224,127,317,191
,,,,,,,
"Upgrades, settlements and recoveries",(385),(413),(139),(221),(139),(196),(308)
,,,,,,,
Write-offs,(132),(81),(32),(44),(127),(46),(35)
,,,,,,,
CBG / WM,(16),48,(7),45,(23),43,5
,,,,,,,
Translation,19,50,51,(17),(85),47,3
,,,,,,,
NPAs at end of period,"4,990","5,077","4,990","4,977","5,056","5,221","5,077"
,,,,,,,
Citi Taiwan,-,-,-,326,-,-,-
,,,,,,,
NPAs at end of period incl Citi Taiwan,"4,990","5,077","4,990","5,303","5,056","5,221","5,077"
,,,,,,,
NPL ratio (%),1.1,1.1,1.1,1.2,1.1,1.1,1.1
,,,,,,,
Quarterly movements may not sum up to,the half yea,r as the presentati,on is based o,n the classifi,cation in the,respective pe,riod
