formation partially offset,by rep,ayments,and wr,ite-off,s,
,,,,,,
(S$m),FY23,FY24,1Q24,2Q24,3Q24,4Q24
,,,,,,
NPAs at start of period,"5,125","5,056","5,056","5,221","5,077","4,680"
,,,,,,
IBG and others,(311),(210),75,(152),(214),81
,,,,,,
New NPAs,675,903,317,191,452,338
,,,,,,
"Upgrades, settlements and recoveries",(683),(808),(196),(308),(491),(208)
,,,,,,
Write-offs,(303),(305),(46),(35),(175),(49)
,,,,,,
CBG / WM,(1),126,43,5,(23),101
,,,,,,
Translation,(83),64,47,3,(160),174
,,,,,,
NPAs at end of period,"4,730","5,036","5,221","5,077","4,680","5,036"
,,,,,,
Citi Taiwan,326,-,-,-,-,-
,,,,,,
NPAs at end of period incl Citi Taiwan,"5,056","5,036","5,221","5,077","4,680","5,036"
,,,,,,
NPL ratio (%),1.1,1.1,1.1,1.1,1.0,1.1
