DBS,GROUP,HOLDINGS,LTD AND I,TS SUB,SIDIARI,ES,,,
,,,,,,,,,
ERFORMAN,CE BY GEO,GRAPHY,,,,,,,
,,,,,,,,,
($m),,,Singapore,Hong,Rest of,South,and R,est of,Total
,,,,Kong,Greater,South-,east the,World,
,,,,,China,,Asia,,
,,,,,,,,,
Selected inc,ome statem,ent items1,,,,,,,
2nd Half 20,24,,,,,,,,
Net interest i,ncome,,"4,807","1,042",550,,629,297,"7,325"
,,,,,,,,,
Net fee and,commission i,ncome,"1,255",420,212,,133,57,"2,077"
,,,,,,,,,
Other non-in,terest income,,"1,295",247,197,,27,90,"1,856"
,,,,,,,,,
Total incom,e,,"7,357","1,709",959,,789,444,"11,258"
,,,,,,,,,
Expenses,,,"2,695",700,671,,491,87,"4,644"
,,,,,,,,,
Amortisation,of intangible,assets,-,-,11,,-,-,11
,,,,,,,,,
Allowances f,or credit and,other losses,36,59,112,,103,29,339
,,,,,,,,,
Share of pro,fits/losses of,associates,,,,,,,
,,,28,-,105,,-,3,136
,,,,,,,,,
and JVs,,,,,,,,,
,,,,,,,,,
Profit befor,e tax,,"4,654",950,270,,195,331,"6,400"
,,,,,,,,,
Income tax e,xpense and,,,,,,,,
,,,421,153,33,,43,101,751
,,,,,,,,,
non-contro,lling interests,,,,,,,,
,,,,,,,,,
Net profit,,,"4,233",797,237,,152,230,"5,649"
,,,,,,,,,
1st Half 202,4,,,,,,,,
,,,,,,,,,
Net interest i,ncome,,"4,621","1,034",557,,616,271,"7,099"
,,,,,,,,,
Net fee and,commission i,ncome,"1,244",411,232,,154,50,"2,091"
,,,,,,,,,
Other non-in,terest income,,"1,289",234,229,,10,87,"1,849"
,,,,,,,,,
Total incom,e,,"7,154","1,679","1,018",,780,408,"11,039"
,,,,,,,,,
Expenses,,,"2,455",626,648,,450,72,"4,251"
,,,,,,,,,
Amortisation,of intangible,assets,-,-,12,,-,-,12
,,,,,,,,,
Allowances f,or credit and,other losses,(24),93,104,,71,39,283
,,,,,,,,,
Share of pro,fits/losses of,associates,,,,,,,
,,,,,,,,,
,,,15,-,100,,-,(1),114
and JVs,,,,,,,,,
,,,,,,,,,
Profit befor,e tax,,"4,738",960,354,,259,296,"6,607"
,,,,,,,,,
Income tax e,xpense and,,,,,,,,
,,,,,,,,,
,,,502,160,49,,54,83,848
non-contro,lling interests,,,,,,,,
,,,,,,,,,
Net profit,,,"4,236",800,305,,205,213,"5,759"
,,,,,,,,,
2nd Half 20,23,,,,,,,,
,,,,,,,,,
Net interest i,ncome,,"4,507","1,132",497,,546,256,"6,938"
,,,,,,,,,
Net fee and,commission i,ncome,"1,071",314,140,,129,56,"1,710"
,,,,,,,,,
Other non-in,terest income,,"1,100",194,153,,36,68,"1,551"
,,,,,,,,,
Total incom,e,,"6,678","1,640",790,,711,380,"10,199"
,,,,,,,,,
Expenses,,,"2,476",629,591,,473,74,"4,243"
,,,,,,,,,
Amortisation,of intangible,assets,-,-,9,,-,-,9
,,,,,,,,,
Allowances f,or credit and,other losses,174,93,47,,34,9,357
,,,,,,,,,
Share of pro,fits/losses of,associates,,,,,,,
,,,,,,,,,
,,,23,-,82,,-,4,109
and JVs,,,,,,,,,
,,,,,,,,,
Profit befor,e tax,,"4,051",918,225,,204,301,"5,699"
,,,,,,,,,
Income tax e,xpense and,,,,,,,,
,,,,,,,,,
,,,390,148,21,,50,64,673
non-contro,lling interests,,,,,,,,
,,,,,,,,,
Net profit,,,"3,661",770,204,,154,237,"5,026"
