Q SP,"at 20bp, FY a",t 13bp,,,,,
,,,,,,,
(S$m),,FY23,FY24,1Q24,2Q24,3Q24,4Q24
,,,,,,,
IBG and o,thers,220,142,5,(11),43,106
,,,,,,,
Add char,ges for,403,377,54,50,168,124
,,,,,,,
New NP,Ls,245,278,45,29,147,88
,,,,,,,
Existing,NPLs,158,99,9,21,21,36
,,,,,,,
Subtract,charges for,183,235,49,61,125,18
,,,,,,,
Upgrade,s,5,17,0,15,1,1
,,,,,,,
Settleme,nts,138,151,40,38,75,16
,,,,,,,
Recover,ies,40,67,9,8,49,1
,,,,,,,
CBG / WM,,246,420,96,100,110,113
,,,,,,,
SP charge,s for loans,466,562,101,89,153,219
,,,,,,,
Other cred,it exposures,47,(2),14,8,(33),9
,,,,,,,
Total SP c,harges,513,560,115,97,120,228
,,,,,,,
SP / loans,(bp),11,13,10,8,14,20
