DBS,GROUP,,HOLDINGS,LTD AND,ITS SUBS,IDIARIES,,,
,,,,,,,,,
($m),,,,Singapore,Hong,Rest of Sou,th and,Rest of,Total
,,,,,Kong,Greater,South- the,World,
,,,,,,China ea,st Asia,,
,,,,,,,,,
Year 2024,,,,,,,,,
Net interest i,ncome,,,"9,428","2,076","1,107","1,245",568,"14,424"
Net fee and,commission,i,ncome,"2,499",831,444,287,107,"4,168"
Other non-in,terest incom,,e,"2,584",481,426,37,177,"3,705"
,,,,,,,,,
Total incom,e,,,"14,511","3,388","1,977","1,569",852,"22,297"
Expenses,,,,"5,150","1,326","1,319",941,159,"8,895"
Amortisation,of intangibl,e,assets,-,-,23,-,-,23
Allowances f,or credit an,d,other losses,12,152,216,174,68,622
Share of prof,its/losses o,f,associates,,,,,,
,,,,43,-,205,-,2,250
,,,,,,,,,
and JVs,,,,,,,,,
Profit before,tax,,,"9,392","1,910",624,454,627,"13,007"
Income tax e,xpense and,,,,,,,,
,,,,,,,,,
,,,,923,313,82,97,184,"1,599"
non-contro,lling interes,ts,,,,,,,
,,,,,,,,,
Net profit,,,,"8,469","1,597",542,357,443,"11,408"
,,,,,,,,,
Year 2023,,,,,,,,,
Net interest i,ncome,,,"9,008","2,167",871,"1,089",507,"13,642"
Net fee and,commission,i,ncome,"2,123",664,228,266,103,"3,384"
Other non-in,terest incom,,e,"2,273",383,302,68,128,"3,154"
,,,,,,,,,
Total incom,e,,,"13,404","3,214","1,401","1,423",738,"20,180"
Expenses,,,,"4,792","1,202","1,011",914,137,"8,056"
Amortisation,of intangibl,e,assets,-,-,9,-,-,9
Allowances f,or credit an,d,other losses,276,138,95,84,(3),590
Share of prof,its/losses o,f,associates,,,,,,
,,,,,,,,,
,,,,33,-,173,-,8,214
and JVs,,,,,,,,,
Profit before,tax,,,"8,369","1,874",459,425,612,"11,739"
Income tax e,xpense and,,,,,,,,
,,,,,,,,,
,,,,851,296,55,100,151,"1,453"
non-contro,lling interes,ts,,,,,,,
Net profit,,,,"7,518","1,578",404,325,461,"10,286"
,,,,,,,,,
Selected ba,lance shee,t,items,,,,,,
,,,,,,,,,
31 Dec 2024,,,,,,,,,
,,,,,,,,,
Total assets,before goo,d,will and,,,,,,
intangible a,ssets,,,"538,730","105,804","72,219","43,906","60,188","820,847"
Goodwill and,intangible,a,ssets,"5,115",30,"1,053",174,-,"6,372"
Total assets,,,,"543,845","105,834","73,272","44,080","60,188","827,219"
Non-current,assets2,,,"4,511",847,"1,292",286,10,"6,946"
Gross custo,mer loans,,,"261,375","65,910","45,113","25,266","39,020","436,684"
,,,,,,,,,
30 Jun 2024,,,,,,,,,
,,,,,,,,,
Total assets,before goo,d,will and,,,,,,
intangible a,ssets,,,"513,077","105,734","71,203","41,234","52,467","783,715"
Goodwill and,intangible,a,ssets,"5,116",30,"1,072",178,-,"6,396"
Total assets,,,,"518,193","105,764","72,275","41,412","52,467","790,111"
Non-current,assets2,,,"4,506",631,"1,198",286,12,"6,633"
Gross custo,mer loans,,,"258,883","67,753","47,967","22,557","33,752","430,912"
,,,,,,,,,
31 Dec 2023,,,,,,,,,
,,,,,,,,,
Total assets,before goo,d,will and,,,,,,
intangible a,ssets,,,"480,704","98,721","70,415","33,326","49,822","732,988"
Goodwill and,intangible,a,ssets,"5,115",29,995,174,-,"6,313"
Total assets,,,,"485,819","98,750","71,410","33,500","49,822","739,301"
Non-current,assets2,,,"4,033",629,"1 , 176",318,20,"6,176"
Gross custo,mer loans,,,"258,632","67,177","44,993","18,063","33,287","422,152"
,,,,,,,,,
Note:,,,,,,,,,
1 Excludes im,pact arising f,ro,m Citi Integration an,d Provision for CSR,,,,,
2 Includes inv,estments in a,s,sociates and joint ven,"tures, properties an",d other fixed asse,ts,,,
