,,,,,,NPA,NPL,SP4,NPA,NPL,SP4,NPA,,NPL,SP4
,,,,,,($m),(% of,($m),($m),(% of,($m),($m),(,% of,($m)
,,,,,,,loans),,,loans),,,lo,ans),
,,,,,,,,,,,,,,,
,B,y busi,ness un,it,,,,,,,,,,,
,,,,,,,,,,,,,,,
,C,onsum,er Bank,ing/,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,913,0.7,270,865,0.7,258,523,,0.4,151
,,Wealth,Manag,ement,,,,,,,,,,,
,,,,,,,,,,,,,,,
,In,stitutio,nal Ban,king,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,"3,841",1.3,"2,085","3,832",1.3,"2,089","4,098",,1.4,"2,149"
,,and O,thers,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,To,tal no,n-perfor,ming,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,"4,754",1.1,"2,355","4,697",1.1,"2,347","4,621",,1.1,"2,300"
,l,oans,(NPL),,,,,,,,,,,,
,,,,,,,,,,,,,,,
,D,ebt se,"curities,",contingent,,,,,,,,,,,
,,,,,,323,-,214,359,-,233,369,,-,225
,,,,,,,,,,,,,,,
,,liabiliti,es & oth,ers,,,,,,,,,,,
,,,,,,,,,,,,,,,
,To,tal no,n-perfor,ming,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,1,,,"5,077",-,"2,569","5,056",-,"2,580","4,990",,-,"2,525"
,,assets,(NPA),,,,,,,,,,,,
,,,,,,,,,,,,,,,
,B,y geog,raphy2,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Si,ngapo,re,,,"2,250",1.2,"1,277","2,233",1.2,"1,232","2,295",,1.2,"1,219"
,,,,,,,,,,,,,,,
,H,ong Ko,ng,,,842,1.3,295,695,1.1,283,710,,1.0,306
,,,,,,,,,,,,,,,
,R,est of,Greater,China,,811,1.3,289,841,1.4,294,555,,1.0,207
,,,,,,,,,,,,,,,
,So,uth a,nd Sout,heast,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,591,1.7,479,661,2.1,505,752,,2.3,517
,,Asia,,,,,,,,,,,,,
,R,est of t,he Worl,d,,260,0.3,15,267,0.4,33,309,,0.4,51
,,,,,,,,,,,,,,,
,To,tal no,n-perfor,ming,,,,,,,,,,,
,,,,,,"4,754",1.1,"2,355","4,697",1.1,"2,347","4,621",,1.1,"2,300"
,,,,,,,,,,,,,,,
,l,oans,(NPL),,,,,,,,,,,,
,,,,,,,,,,,,,,,
,D,ebt se,"curities,",contingent,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,323,-,214,359,-,233,369,,-,225
,,liabiliti,es & oth,ers,,,,,,,,,,,
,,,,,,,,,,,,,,,
,To,tal no,n-perfor,ming,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,1,,,"5,077",-,"2,569","5,056",-,"2,580","4,990",,-,"2,525"
,,assets,(NPA),,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Lo,ss Al,lowanc,e,,,,,,,,,,,
,C,overa,ge,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,E,CL3 St,age 3 (S,P),,,,"2,569",,,"2,580",,,,"2,525"
,,,,,,,,,,,,,,,
,E,CL3 St,age 1 an,d 2 (GP),,,,"3,981",,,"3,896",,,,"3,802"
,,,,,,,,,,,,,,,
,To,tal all,owance,s,,,,"6,550",,,"6,476",,,,"6,327"
,,,,,,,,,,,,,,,
,To,tal all,owance,s / NPA,,,,129%,,,128%,,,,127%
,,,,,,,,,,,,,,,
,To,tal all,owance,s/ unsecure,d NP,A,,227%,,,226%,,,,224%
,,,,,,,,,,,,,,,
N,ote,s:,,,,,,,,,,,,,
1,,30 Jun,2024 and,31 Dec 2023,includ,ed impact fr,om the conso,lidation of Ci,ti Taiwan.,NPA acquire,d from Citi Ta,iwan integ,rat,ion amoun,ted to
,,$326 m,illion on 1,2 August 202,3,,,,,,,,,,
2,,NPLs b,y geogra,phy are determ,ined,according to,the location,where the bo,rrower is in,corporated,,,,,
3,,Refers,to expect,ed credit loss,,,,,,,,,,,
4,,Refers,to Expect,ed Credit Loss,Stag,e 3,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,19
