,,,NPA,NPL,SP,NPA,NPL,SP,NPA,,NPL,SP
,,,($m),(% of,($m),($m),(% of,($m),($m),(,% of,($m
,,,,loans),,,loans),,,lo,ans),
,,,,,,,,,,,,
By busines,s unit,,,,,,,,,,,
,,,,,,,,,,,,
Consumer,Bankin,g/,,,,,,,,,,
,,,991,0.7,304,913,0.7,270,865,,0.7,258
,,,,,,,,,,,,
Wealth M,anage,ment,,,,,,,,,,
,,,,,,,,,,,,
Institutional,Banki,ng,,,,,,,,,,
,,,,,,,,,,,,
,,,"3,789",1.2,"2,089","3,841",1.3,"2,085","3,832",,1.3,"2,089"
and Othe,rs,,,,,,,,,,,
,,,,,,,,,,,,
Total non-p,erform,ing,,,,,,,,,,
,,,,,,,,,,,,
,,,"4,780",1.1,"2,393","4,754",1.1,"2,355","4,697",,1.1,"2,347"
loans (NP,L),,,,,,,,,,,
,,,,,,,,,,,,
Debt securi,"ties,",,,,,,,,,,,
contingen,t liabil,ities,256,-,152,323,-,214,359,,-,233
& others,,,,,,,,,,,,
,,,,,,,,,,,,
Total non-p,erform,ing,,,,,,,,,,
,,,,,,,,,,,,
,,,"5,036",-,"2,545","5,077",-,"2,569","5,056",,-,"2,580"
assets (N,PA),,,,,,,,,,,
,,,,,,,,,,,,
By geogra,phy1,,,,,,,,,,,
,,,,,,,,,,,,
Singapore,,,"1,958",1.0,"1,190","2,250",1.2,"1,277","2,233",,1.2,"1,232"
,,,,,,,,,,,,
Hong Kong,,,"1,048",1.7,322,842,1.3,295,695,,1.1,283
,,,,,,,,,,,,
Rest of Gre,ater C,hina,853,1.5,289,811,1.3,289,841,,1.4,294
,,,,,,,,,,,,
South and,Southe,ast,,,,,,,,,,
,,,,,,,,,,,,
,,,594,1.6,492,591,1.7,479,661,,2.1,505
Asia,,,,,,,,,,,,
,,,,,,,,,,,,
Rest of the,World,,327,0.4,100,260,0.3,15,267,,0.4,33
,,,,,,,,,,,,
Total non-p,erform,ing,,,,,,,,,,
,,,,,,,,,,,,
,,,"4,780",1.1,"2,393","4,754",1.1,"2,355","4,697",,1.1,"2,347"
loans (NP,L),,,,,,,,,,,
,,,,,,,,,,,,
Debt securi,"ties,",,,,,,,,,,,
contingen,t liabil,ities,256,-,152,323,-,214,359,,-,233
& others,,,,,,,,,,,,
,,,,,,,,,,,,
Total non-p,erform,ing,,,,,,,,,,
,,,,,,,,,,,,
,,,"5,036",-,"2,545","5,077",-,"2,569","5,056",,-,"2,580"
assets (N,PA),,,,,,,,,,,
,,,,,,,,,,,,
Loss Allow,ance,,,,,,,,,,,
Coverage,,,,,,,,,,,,
,,,,,,,,,,,,
ECL Stage,3 (SP),,,,"2,545",,,"2,569",,,,"2,580"
,,,,,,,,,,,,
ECL Stage,1 and,2 (GP),,,"3,969",,,"3,981",,,,"3,896"
,,,,,,,,,,,,
Total allowa,nces,,,,"6,514",,,"6,550",,,,"6,476"
,,,,,,,,,,,,
Total allowa,nces/,NPA,,,129%,,,129%,,,,128%
,,,,,,,,,,,,
Total allowa,nces/,unsecured,NPA,,226%,,,227%,,,,226%
,,,,,,,,,,,,
Notes:,,,,,,,,,,,,
1 NPLs b,y geogr,aphy are det,ermined acco,rding to the lo,cation where,the borrower,is incorporat,ed,,,,
