(S$m),,1H25,1H24 Y,oY %
,,,,
Commercial,book total income,"10,856","10,606",2
,,,,
Net interest,income,"7,344","7,416",(1)
,,,,
Net fee and,commission income,"2,442","2,091",17
,,,,
Treasury cu,stomer sales and other income,"1,070","1,099",(3)
,,,,
Markets trad,ing income,781,433,80
,,,,
Net interest,income,(15),(317),95
,,,,
Non-interest,income,796,750,6
,,,,
Total income,,"11,637","11,039",5
,,,,
Expenses,,"4,484","4,251",5
,,,,
Profit before,allowances and amortisation,"7,153","6,788",5
,,,,
Amortisation,of intangible assets,12,12,-
,,,,
Allowances fo,r credit and other losses,458,283,62
,,,,
SP,,270,210,29
,,,,
GP,,188,73,>100
,,,,
Share of profi,ts/losses of associates and JVs,142,114,25
,,,,
Profit before,tax,"6,825","6,607",3
,,,,
Net profit,,"5,721","5,759",(1)
,,,,
Reported ne,t profit,"5,721","5,740",(0)
