col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14
,,,,,,,,,,,,,
,,NPA,SP,,,NPA,,S,P,,NPA,,SP
,,,,,,,,,,,,,
By industry,,,,,,,,,,,,,
,,,,,,,,,,,,,
Manufacturing,,637,363,,,648,,31,4,,673,,309
,,,,,,,,,,,,,
Building and construc,tion,972,313,,,940,,35,3,,771,,334
,,,,,,,,,,,,,
Housing loans,,188,5,,,187,,1,8,,177,,17
,,,,,,,,,,,,,
General commerce,,921,581,,,859,,56,9,,861,,560
,,,,,,,,,,,,,
"Transportation, storag",e & communications,898,680,,1,",029",,68,7,1,",121",,688
,,,,,,,,,,,,,
"Financial institutions,",investment & holding companies,62,#,,,6,,,1,,29,,26
,,,,,,,,,,,,,
Professionals & privat,e individuals,,,,,,,,,,,,
,,,,,,,,,,,,,
,,768,301,,,727,,25,2,,686,,241
(excluding housing l,oans),,,,,,,,,,,,
,,,,,,,,,,,,,
Others,,334,150,,,358,,16,1,,379,,172
,,,,,,,,,,,,,
Total non-performing,loans,"4,780","2,393",,4,",754",2,",35",5,4,",697",2,",347"
,,,,,,,,,,,,,
"Debt securities, contin",gent liabilities & others,256,152,,,323,,21,4,,359,,233
,,,,,,,,,,,,,
Total non-performing,assets (NPA),"5,036","2,545",,5,",077",2,",56",9,5,",056",2,",580"
,,,,,,,,,,,,,
($m),,31 Dec 20,24,,,30 Jun 20,,24,,,31 Dec 20,,23
,,,,,,,,,,,,,
,,NPA,SP,,,NPA,,,SP,,NPA,,SP
,,,,,,,,,,,,,
By loan grading,,,,,,,,,,,,,
Non-performing ass,ets,,,,,,,,,,,,
,,,,,,,,,,,,,
Substandard,,"2,732",547,,,"3,051",,6,17,,"3,031",,647
,,,,,,,,,,,,,
Doubtful,,"1,234",928,,,975,,9,01,,989,,897
,,,,,,,,,,,,,
Loss,,"1,070","1,070",,,"1,051",,"1,0",51,,"1,036",,"1,036"
,,,,,,,,,,,,,
Total,,"5,036","2,545",,,"5,077",,"2,5",69,,"5,056",,"2,580"
,,,,,,,,,,,,,
Of which: restructur,ed assets,,,,,,,,,,,,
,,,,,,,,,,,,,
Substandard,,"1,118",301,,,"1,360",,3,07,,"1,460",,327
,,,,,,,,,,,,,
Doubtful,,237,232,,,358,,3,35,,387,,355
,,,,,,,,,,,,,
Loss,,43,43,,,47,,,47,,77,,77
,,,,,,,,,,,,,
Total,,"1,398",576,,,"1,765",,6,89,,"1,924",,759
,,,,,,,,,,,,,
($m),,,31 Dec,20,2,4 30,J,un,2024,,31 Dec,,2023
,,,,,,,,,,,,,
,,,,NP,,A,,,NPA,,,,NPA
,,,,,,,,,,,,,
By collateral type,,,,,,,,,,,,,
,,,,,,,,,,,,,
Unsecured non-perfor,ming assets,,,"2,8",8,0,,,"2,890",,,,"2,864"
,,,,,,,,,,,,,
Secured non-performi,ng assets by collateral type,,,,,,,,,,,,
,,,,,,,,,,,,,
Properties,,,,"1,2",1,1,,,"1,105",,,,988
,,,,,,,,,,,,,
Shares and debent,ures,,,,,1,,,26,,,,24
,,,,,,,,,,,,,
Cash deposits,,,,,,4,,,7,,,,9
,,,,,,,,,,,,,
Others,,,,9,4,0,,,"1,049",,,,"1,171"
,,,,,,,,,,,,,
Total,,,,"5,0",3,6,,,"5,077",,,,"5,056"
,,,,,,,,,,,,,
tes:,,,,,,,,,,,,,
"epresents less than $500,",000,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,22
