(S$m),,,FY24,FY23 Y,oY %
,,,,,
Commercial,,book total income,"21,375","19,455",10
,,,,,
Net interest,i,ncome,"15,043","14,286",5
,,,,,
Net fee and,,commission income,"4,168","3,384",23
,,,,,
Treasury cu,s,tomer sales and other income,"2,164","1,785",21
,,,,,
Markets trad,i,ng income,922,725,27
,,,,,
Net interest,i,ncome,(619),(644),4
,,,,,
Non-interest,,income,"1,541","1,369",13
,,,,,
Total income,,,"22,297","20,180",10
,,,,,
Expenses,,,"8,895","8,056",10
,,,,,
Profit before,,allowances and amortisation,"13,402","12,124",11
,,,,,
Amortisation,o,f intangible assets,23,9,>100
,,,,,
Allowances fo,,r credit and other losses,622,590,5
,,,,,
SP,,,559,512,9
,,,,,
GP,,,63,78,(19)
,,,,,
Share of profi,t,s/losses of associates and JVs,250,214,17
,,,,,
Profit before,,tax,"13,007","11,739",11
,,,,,
Net profit,,,"11,408","10,286",11
,,,,,
Reported ne,t,profit,"11,289","10,062",12
