(S$m),1H25,1H24 Yo,Y % Yo,Y
,,,,
Total income,"1,780","1,679",6,8
,,,,
Net interest income,"1,007","1,034",(3),(1
,,,,
Net fee and commission income,505,411,23,25
,,,,
Other non-interest income,268,234,15,17
,,,,
Expenses,636,626,2,4
,,,,
Profit before allowances,"1,144","1,053",9,11
,,,,
Allowances,106,93,14,18
,,,,
GP,47,58 (,19) (,14
,,,,
SP,59,35,69,71
,,,,
Net profit,871,800,9,11
,,,,
Net interest margin (%),1.75,1.80,,
,,,,
Loan growth (%),,,,(5
,,,,
Non-trade growth (%),,,,(3
,,,,
Trade growth (%),,,(,23
,,,,
Deposit growth (%),,,,9
