(S$m),FY24,FY23 Y,oY % Y,oY
,,,,
Net interest income,"2,076","2,167",(4),(4)
,,,,
Net fee and commission income,831,664,25,25
,,,,
Other non-interest income,481,383,26,26
,,,,
Total income,"3,388","3,214",5,6
,,,,
Expenses,"1,326","1,202",10,10
,,,,
Profit before allowances,"2,062","2,012",2,3
,,,,
GP,56,(0),NM,NM
,,,,
SP,96,138,(30),(30
,,,,
Allowances,152,138,10,11
,,,,
Net profit,"1,597","1,578",1,1
,,,,
Net interest margin (%),1.80,1.91,,
,,,,
Loan growth (%),,,,(6)
,,,,
Non-trade growth (%),,,,(6)
,,,,
Trade growth (%),,,,(6)
,,,,
Deposit growth (%),,,,3
