UNAUDITED CONSOLIDATED INCOME STATEM,ENT,,,,
,,,,,
1,st Half 1,st Half,+/(-) 2n,d Half,+/(-)
In $ millions,2025,2024,%,2024,%
,,,,,
Income,,,,,
,,,,,
Interest and similar income,"14,541","15,467",(6),"15,460",(6)
,,,,,
Interest expense,"7,212","8,368",(14),"8,135",(11)
,,,,,
Net interest income,"7,329","7,099",3,"7,325",0
,,,,,
Net fee and commission income,"2,442","2,091",17,"2,077",18
,,,,,
Net trading income,"1,723","1,733",(1),"1,648",5
,,,,,
Net income from investment securities,123,91,35,72,71
,,,,,
Other income,20,25,(20),136,(85)
,,,,,
Non-interest income,"4,308","3,940",9,"3,933",10
,,,,,
Total income,"11,637","11,039",5,"11,258",3
,,,,,
Employee benefits,"2,909","2,728",7,"2,866",2
,,,,,
Other expenses,"1,575","1,546",2,"1,878",(16)
,,,,,
Total expenses,"4,484","4,274",5,"4,744",(5)
,,,,,
Profit before allowances and amortisation,"7,153","6,765",6,"6,514",10
,,,,,
Amortisation of intangible assets,12,12,-,11,9
,,,,,
Allowances for credit and other losses,458,283,62,339,35
,,,,,
Profit after allowances and amortisation,"6,683","6,470",3,"6,164",8
,,,,,
Share of profits/losses of associates and JVs,142,114,25,136,4
,,,,,
Profit before tax,"6,825","6,584",4,"6,300",8
,,,,,
Income tax expense,"1,104",844,31,750,47
,,,,,
Net profit,"5,721","5,740",(0),"5,550",3
,,,,,
Attributable to:,,,,,
,,,,,
Shareholders,"5,721","5,740",(0),"5,549",3
,,,,,
Non-controlling interests,-,-,-,1,(100)
,,,,,
,"5,721","5,740",(0),"5,550",3
