,(S$bn),,HoH (,%),YoY,(,%)
,,,,,,,
,Jun 25,,Reported,Underlying,Reported,,Underlying
,,,,,,,
eposits,574,,2,5,4,,7
,,,,,,,
y product,,,,,,,
,,,,,,,
Casa,301,,3,6,8,,10
,,,,,,,
Fixed deposits and others,273,,1,5,0,,5
,,,,,,,
y currency,,,,,,,
,,,,,,,
Singapore dollar,216,,5,5,10,,10
,,,,,,,
US dollar,220,,(2),5,0,,7
,,,,,,,
HK dollar,35,,4,12,3,,11
,,,,,,,
Taiwan dollar,23,,13,7,7,,3
,,,,,,,
Chinese yuan,23,,14,19,6,,11
,,,,,,,
Others,58,,(3),(2),(1),,2
,,,,,,,
DR (%),Ju,n 25,,Dec 24,J,u,n 24
,,,,,,,
verall,,75,,77,,,77
,,,,,,,
ingapore dollar,,78,,81,,,83
,,,,,,,
S dollar,,49,,49,,,49
