DBS GROUP,HOLDINGS L,TD AN,D ITS S,UBSID,IARIES,,,,
,,,,,,,,,
AUDITED CONSOLID,ATED INCOME,STATEM,ENT,,,,,,
,,,,,,,,,
,2n,d Half 2n,d Half,+/(-) 1,st Half,+/(-),Year,Year,+/(-)
In $ millions,,20241,20231,%,20241,%,2024,2023,%
,,,,,,,,,
Income,,,,,,,,,
,,,,,,,,,
Interest and similar income,,"15,460","14,634",6,"15,467",(0),"30,927","27,862",11
,,,,,,,,,
Interest expense,,"8,135","7,696",6,"8,368",(3),"16,503","14,220",16
,,,,,,,,,
Net interest income,,"7,325","6,938",6,"7,099",3,"14,424","13,642",6
,,,,,,,,,
Net fee and commission inc,ome,"2,077","1,692",23,"2,091",(1),"4,168","3,366",24
,,,,,,,,,
Net trading income,,"1,648","1,432",15,"1,733",(5),"3,381","2,866",18
,,,,,,,,,
Net income from investment,securities,72,87,(17),91,(21),163,217,(25)
,,,,,,,,,
Other income,,136,32,>100,25,>100,161,71,>100
,,,,,,,,,
Non-interest income,,"3,933","3,243",21,"3,940",(0),"7,873","6,520",21
,,,,,,,,,
Total income,,"11,258","10,181",11,"11,039",2,"22,297","20,162",11
,,,,,,,,,
Employee benefits,,"2,866","2,614",10,"2,728",5,"5,594","5,053",11
,,,,,,,,,
Other expenses,,"1,878","1,791",5,"1,546",21,"3,424","3,238",6
,,,,,,,,,
Total expenses,,"4,744","4,405",8,"4,274",11,"9,018","8,291",9
,,,,,,,,,
Profit before allowances a,nd amortisation,"6,514","5,776",13,"6,765",(4),"13,279","11,871",12
,,,,,,,,,
Amortisation of intangible as,sets,11,9,22,12,(8),23,9,>100
,,,,,,,,,
Allowances for credit and ot,her losses,339,357,(5),283,20,622,590,5
,,,,,,,,,
Profit after allowances an,d amortisation,"6,164","5,410",14,"6,470",(5),"12,634","11,272",12
,,,,,,,,,
Share of profits/losses of as,sociates and JVs,136,109,25,114,19,250,214,17
,,,,,,,,,
Profit before tax,,"6,300","5,519",14,"6,584",(4),"12,884","11,486",12
,,,,,,,,,
Income tax expense,,750,657,14,844,(11),"1,594","1,423",12
,,,,,,,,,
Net profit,,"5,550","4,862",14,"5,740",(3),"11,290","10,063",12
,,,,,,,,,
Attributable to:,,,,,,,,,
,,,,,,,,,
Shareholders,,"5,549","4,862",14,"5,740",(3),"11,289","10,062",12
,,,,,,,,,
Non-controlling interests,,1,-,NM,-,NM,1,1,-
,,,,,,,,,
,,"5,550","4,862",14,"5,740",(3),"11,290","10,063",12
,,,,,,,,,
Notes:,,,,,,,,,
1 Unaudited,,,,,,,,,
NM Not Meaningful,,,,,,,,,
,,,,,,,,,
,,,,,,,,,26
