DBS,GROUP,HOLDINGS LT,D AND IT,S SUBSI,DIARIES,,,
,,,,,,,,
AUDITED B,ALANCE,SHEETS,,,,,,
,,,,,,,,
,,,The,Group,,The C,ompany,
,,,,,,,,
,,,31 Dec,30 Jun,31 Dec,31 Dec,30 Jun,31 Dec
In $ millions,,,2024,20241,2023,2024,20241,2023
,,,,,,,,
Assets,,,,,,,,
,,,,,,,,
Cash and balan,ces with cen,tral banks,"58,646","60,814","50,213",-,-,-
Government se,curities and t,reasury bills,"81,539","74,248","70,565",-,-,-
,,,,,,,,
Due from bank,s,,"80,415","78,955","67,461",27,89,225
,,,,,,,,
Derivative asse,ts,,"27,897","23,987","22,700",19,16,16
,,,,,,,,
Bank and corpo,rate securitie,s,"105,053","93,601","81,735",-,-,-
Loans and adv,ances to cust,omers,"430,594","424,837","416,163",-,-,-
,,,,,,,,
Other assets,,,"29,757","20,640","17,975",3,8,8
,,,,,,,,
Investment in s,ubsidiaries,,-,-,-,"21,090","20,995","20,997"
,,,,,,,,
Due from subsi,diaries,,-,-,-,"4,860","6,366","6,111"
,,,,,,,,
Associates and,joint venture,s,"3,073","3,038","2,487",-,-,-
Properties and,other fixed a,ssets,"3,873","3,595","3,689",-,-,-
Goodwill and in,tangible asse,ts,"6,372","6,396","6,313",-,-,-
,,,,,,,,
Total assets,,,"827,219","790,111","739,301","25,999","27,474","27,357"
,,,,,,,,
Liabilities,,,,,,,,
,,,,,,,,
Due to banks,,,"64,175","62,555","46,704",-,-,-
Deposits and b,alances from,customers,"561,730","551,088","535,103",-,-,-
,,,,,,,,
Derivative liabil,ities,,"26,670","23,097","23,457",70,91,88
,,,,,,,,
Other liabilities,,,"36,643","27,574","22,392",55,59,64
,,,,,,,,
Due to subsidia,ries,,-,-,-,"1,488","1,488","1,474"
,,,,,,,,
Other debt sec,urities,,"67,850","58,973","48,079","3,374","4,722","4,716"
,,,,,,,,
Subordinated te,rm debts,,"1,318","1,330","1,319","1,318","1,330","1,319"
,,,,,,,,
Total liabilities,,,"758,386","724,617","677,054","6,305","7,690","7,661"
,,,,,,,,
Net assets,,,"68,833","65,494","62,247","19,694","19,784","19,696"
,,,,,,,,
Equity,,,,,,,,
,,,,,,,,
Share capital,,,"11,537","11,743","11,604","11,586","11,784","11,650"
,,,,,,,,
Other equity ins,truments,,"2,392","2,392","2,392","2,392","2,392","2,392"
,,,,,,,,
Other reserves,,,"1,694",412,(23),170,65,123
,,,,,,,,
Revenue reser,ves,,"53,163","50,754","48,092","5,546","5,543","5,531"
,,,,,,,,
Shareholders’,funds,,"68,786","65,301","62,065","19,694","19,784","19,696"
,,,,,,,,
Non-controlling,interests,,47,193,182,-,-,-
,,,,,,,,
Total equity,,,"68,833","65,494","62,247","19,694","19,784","19,696"
,,,,,,,,
Other Informat,ion,,,,,,,
,,,,,,,,
Net book value,per share2 ($,),,,,,,
,,,,,,,,
(i) Basic and,diluted,,23.38,22.12,21.03,6.09,6.11,6.10
,,,,,,,,
Note:,,,,,,,,
1 Unaudited,,,,,,,,
2 The number,of ordinary sha,res used for net book value,per share com,putation has bee,n adjusted retrospe,ctively for the 2,58 million bonu,s shares
issued on 26,April 2024 as if,the bonus issue had occu,rred on 1 Janua,ry 2023,,,,
,,,,,,,,
,,,,,,,,28
