UNAUDITED,CONSOLIDAT,ED STATEM,ENT OF C,HANGE,S,IN EQUI,TY,,,
FOR THE SIX,MONTHS END,ED 31 DECE,MBER 2,024,,,,,,
,,,,,,,,,,
The Group,,Attribut,able to sha,reholders,of,the Com,pany,,,
,,,,,,,,,,
,,,,,,,Total,,,
,,,,,,,,,Non-,
,,"Other
Share",equity,Other,R,evenue,shareholders’,contr,olling,Total
In $ millions,,capital instru,ments re,serves,re,serves,funds,inte,rests,equity
,,,,,,,,,,
Balance at 1 July,2024,"11,743","2,392",412,,"50,754","65,301",,193,"65,494"
,,,,,,,,,,
Purchase of treas,ury shares,(206),-,-,,-,(206),,-,(206)
,,,,,,,,,,
Draw-down of sha,re plan,,,,,,,,,
reserves upon ve,sting of,-,-,(1),,-,(1),,-,(1)
performance sha,res,,,,,,,,,
,,,,,,,,,,
Cost of share-bas,ed payments,-,-,90,,-,90,,-,90
,,,,,,,,,,
Dividends paid to,shareholders1,-,-,-,,"(3,111)","(3,111)",,-,"(3,111)"
,,,,,,,,,,
Change in non-co,ntrolling,,,,,,,,,
,,,,,,,,,,
,,-,-,-,,-,-,,(152),(152)
interests,,,,,,,,,,
,,,,,,,,,,
Other movements,,-,-,-,,(6),(6),,6,-
,,,,,,,,,,
Net profit,,-,-,-,,"5,549","5,549",,1,"5,550"
,,,,,,,,,,
Other comprehen,sive income,-,-,"1,193",,(23),"1,170",,(1),"1,169"
,,,,,,,,,,
Balance at 31 De,cember 2024,"11,537","2,392","1,694",,"53,163","68,786",,47,"68,833"
,,,,,,,,,,
Balance at 1 July,2023,"11,612","2,392","(1,241)",,"45,985","58,748",,187,"58,935"
,,,,,,,,,,
Purchase of treas,ury shares,(10),-,-,,-,(10),,-,(10)
,,,,,,,,,,
Draw-down of sha,re plan,,,,,,,,,
reserves upon ve,sting of,2,-,(3),,-,(1),,-,(1)
performance sha,res,,,,,,,,,
,,,,,,,,,,
Cost of share-bas,ed payments,,-,89,,-,89,,-,89
,,,,,,,,,,
Dividends paid to,shareholders1,-,-,-,,"(2,517)","(2,517)",,-,"(2,517)"
,,,,,,,,,,
Dividends paid to,non-,,,,,,,,,
,,,,,,,,,,
,,-,-,-,,-,-,,(7),(7)
controlling intere,st,,,,,,,,,
,,,,,,,,,,
Disposal of contro,lling interest in,,,,,,,,,
,,,,,,,,,,
,,-,-,-,,-,-,,(2),(2)
subsidiary,,,,,,,,,,
,,,,,,,,,,
Other movements,,-,-,(2),,(3),(5),,5,-
,,,,,,,,,,
Net profit,,-,-,-,,"4,862","4,862",,-,"4,862"
,,,,,,,,,,
Other comprehen,sive income,-,-,"1,134",,(235),899,,(1),898
,,,,,,,,,,
Balance at 31 De,cember 2023,"11,604","2,392",(23),,"48,092","62,065",,182,"62,247"
ote:,,,,,,,,,,
Includes distributio,ns of $42 million paid,on capital securitie,s classified as,equity for 2n,d,Half 2024 (2,nd Half 2023: $42 m,illion),,
