2Q fee income u,p YoY le,d by wealt,h man,agem,"ent, 1H",at re,cor
,,,,,,,
,,,,,,"1,503",
,,,,,,,
(S$m),,"2,898",,,,,
,,,,,,,"1,395"
,,,,"1,315",,16,
,"2,535",47,"1,264",,"1,236",,31
,,,,,,,
,,,,31,,,
Investment banking,37,,19,,33,,
,,,,,,,
,,,,,,724,
,,,,,,,
,,"1,373",,,,,649
Wealth management,"1,054",,518,609,520,,
,,,,,,,
,,,,,,,
,,,,,,,
Loan-related,371,412,186,146,127,227,185
,,,,,,,
,,,,,,,
Cards,614,599,313,302,324,297,302
,,,,,,,
,,,,,,,
Transaction services,459,467,228,227,232,239,228
,,,,,,,
,1H24,1H25,2Q24,3Q24,4Q24,1Q25,2Q25
,,,,,,,
YoY (%),,,,,,,
,,,,,,,
Total,26,14,27,25,16,18,10
,,,,,,,
Wealth management,42,30,37,55,41,35,25
