col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
,,,,,,,
IBG and others,(6),58,(11),43,106,(14),72
,,,,,,,
Add charges for,93,262,50,168,124,168,100
,,,,,,,
New NPLs,68,93,29,147,88,65,29
,,,,,,,
Existing NPLs,25,169,21,21,36,103,71
,,,,,,,
Subtract charges for,99,204,61,125,18,182,28
,,,,,,,
Upgrades,15,120,15,1,1,119,1
,,,,,,,
Settlements,67,50,38,75,16,33,23
,,,,,,,
Recoveries,17,34,8,49,1,30,4
,,,,,,,
CBG / WM,196,209,100,110,113,117,92
,,,,,,,
SP charges for loans,190,267,89,153,219,103,164
,,,,,,,
Other credit exposures,22,(7),8,(33),9,8,(15)
,,,,,,,
Total SP charges,212,260,97,120,228,111,149
,,,,,,,
SP / loans (bp),9,12,8,14,20,10,15
